epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10477.4,0.76447,0.71197,1.15564,0.8316,0.76603,0.81001,0.57595,1.04366,0.949,1.39877,0.000990365,0.000990365,0.000990365
43,10658.9,0.73574,0.68201,1.11859,0.8406,0.77561,0.82769,0.60704,0.97372,0.89787,1.29183,0.000973861,0.000973861,0.000973861
44,10838.2,0.72647,0.6759,1.13222,0.8635,0.74219,0.82406,0.58898,1.01977,0.88748,1.3315,0.000957358,0.000957358,0.000957358
45,11006.7,0.71952,0.65216,1.10568,0.8437,0.78704,0.83409,0.61061,0.98849,0.89147,1.28725,0.000940855,0.000940855,0.000940855
46,11186.9,0.72949,0.66816,1.10349,0.89249,0.73978,0.83058,0.60594,0.94912,0.92199,1.26295,0.000924352,0.000924352,0.000924352
47,11378.3,0.74493,0.64727,1.11623,0.86115,0.74049,0.8126,0.58699,1.00314,0.93159,1.28304,0.000907848,0.000907848,0.000907848
48,11560.4,0.70838,0.66688,1.12108,0.85297,0.73379,0.8173,0.59882,0.97156,0.95617,1.28242,0.000891345,0.000891345,0.000891345
49,11702.8,0.68141,0.64083,1.08,0.90091,0.73639,0.82667,0.60516,0.94957,0.88367,1.24487,0.000874842,0.000874842,0.000874842
50,11842.2,0.68696,0.62147,1.08214,0.83222,0.73937,0.8184,0.59599,0.98827,0.88496,1.30449,0.000858338,0.000858338,0.000858338
51,11979.5,0.6826,0.63901,1.10753,0.87634,0.78239,0.83118,0.62404,0.92008,0.83711,1.22506,0.000841835,0.000841835,0.000841835
52,12125.5,0.67132,0.64028,1.08513,0.84522,0.75211,0.83284,0.61998,0.92032,0.8514,1.23891,0.000825332,0.000825332,0.000825332
53,12278.7,0.70407,0.63678,1.07966,0.84745,0.76265,0.81245,0.60788,0.90536,0.81385,1.22825,0.000808828,0.000808828,0.000808828
54,12450,0.68284,0.61611,1.08759,0.86282,0.73534,0.82283,0.62012,0.90198,0.86264,1.23839,0.000792325,0.000792325,0.000792325
55,12605.9,0.67537,0.60933,1.08786,0.86967,0.72953,0.82398,0.61368,0.94311,0.87708,1.28368,0.000775822,0.000775822,0.000775822
56,12813.4,0.6777,0.63099,1.08148,0.8717,0.77201,0.8255,0.61388,0.94813,0.85587,1.25423,0.000759318,0.000759318,0.000759318
57,13059.2,0.65455,0.58992,1.07246,0.85514,0.74956,0.82776,0.61496,0.94623,0.90041,1.24394,0.000742815,0.000742815,0.000742815
58,13369.9,0.64881,0.57503,1.06909,0.84828,0.75995,0.83173,0.5909,0.98172,0.94158,1.28607,0.000726312,0.000726312,0.000726312
59,13678.3,0.67331,0.61051,1.0919,0.85682,0.77312,0.83156,0.61448,0.91834,0.84427,1.23144,0.000709809,0.000709809,0.000709809
